SP_CODE;SP_NAME;MN_NAME;DC_NAME;PR_NAME
10101000;Doringbaai SP;Matzikama;West Coast District Municipality;WESTERN CAPE
10102000;Ebenhaesar SP;Matzikama;West Coast District Municipality;WESTERN CAPE
10103000;Klawer SP;Matzikama;West Coast District Municipality;WESTERN CAPE
10103001;Klawer Ward 12;Matzikama;West Coast District Municipality;WESTERN CAPE
10104000;Koekenaap SP;Matzikama;West Coast District Municipality;WESTERN CAPE
10104001;Koekenaap;Matzikama;West Coast District Municipality;WESTERN CAPE
10105001;Lutzville BSB;Matzikama;West Coast District Municipality;WESTERN CAPE
10105002;Lutzville West;Matzikama;West Coast District Municipality;WESTERN CAPE
10105003;Uitkyk;Matzikama;West Coast District Municipality;WESTERN CAPE
10106000;Matzikama SP;Matzikama;West Coast District Municipality;WESTERN CAPE
10106001;Klawer;Matzikama;West Coast District Municipality;WESTERN CAPE
10106002;Van Rhynsdorp NU;Matzikama;West Coast District Municipality;WESTERN CAPE
10106003;Vredenda NU;Matzikama;West Coast District Municipality;WESTERN CAPE
10106004;Vredendal NU;Matzikama;West Coast District Municipality;WESTERN CAPE
10107000;Strandfontein SP;Matzikama;West Coast District Municipality;WESTERN CAPE
10108000;Vanrhynsdorp SP;Matzikama;West Coast District Municipality;WESTERN CAPE
10108001;Maskamsig;Matzikama;West Coast District Municipality;WESTERN CAPE
10108002;Van Rhynsdorp AH;Matzikama;West Coast District Municipality;WESTERN CAPE
10109000;Vredendal Part 1 SP;Matzikama;West Coast District Municipality;WESTERN CAPE
10109001;Aiville Park;Matzikama;West Coast District Municipality;WESTERN CAPE
10109002;Joe Slovo Park;Matzikama;West Coast District Municipality;WESTERN CAPE
10109003;Vredendal;Matzikama;West Coast District Municipality;WESTERN CAPE
10110001;Vredendal AH;Matzikama;West Coast District Municipality;WESTERN CAPE
10111001;Vredendal North;Matzikama;West Coast District Municipality;WESTERN CAPE
10201001;Clanwilliam NU;Cederberg;West Coast District Municipality;WESTERN CAPE
10201002;Piketberg NU;Cederberg;West Coast District Municipality;WESTERN CAPE
10201003;Vredendal NU;Cederberg;West Coast District Municipality;WESTERN CAPE
10202000;Citrusdal SP;Cederberg;West Coast District Municipality;WESTERN CAPE
10202001;Heuwelsig;Cederberg;West Coast District Municipality;WESTERN CAPE
10203000;Clanwilliam SP;Cederberg;West Coast District Municipality;WESTERN CAPE
10203001;Hopland;Cederberg;West Coast District Municipality;WESTERN CAPE
10204000;Elandsbaai SP;Cederberg;West Coast District Municipality;WESTERN CAPE
10204001;Elandsbaai;Cederberg;West Coast District Municipality;WESTERN CAPE
10205001;Graaffwater North;Cederberg;West Coast District Municipality;WESTERN CAPE
10205002;Graaffwater South;Cederberg;West Coast District Municipality;WESTERN CAPE
10206000;Lamberts Bay SP;Cederberg;West Coast District Municipality;WESTERN CAPE
10206001;Lamberts Bay Ward 12;Cederberg;West Coast District Municipality;WESTERN CAPE
10206002;Lamberts Bay Ward 3;Cederberg;West Coast District Municipality;WESTERN CAPE
10301000;Aurora SP;Bergrivier;West Coast District Municipality;WESTERN CAPE
